community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0573,222,138,69,50,0.7143,dpi,0.8053,0.0,0.8468,Implementation Arrangements and Support Plan,0.3309,0.3281,0.7002,REF045,0.421,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0261,220,182,69,55,0.7857,dpi,0.7904,0.0,0.4,Sectoral and Institutional Context,0.2858,0.4079,0.6048,REF030,0.3631,shortlist,,20260918T0131-7dd1a33,discover-1
c0450,220,180,65,53,0.7571,dpi,0.7646,0.0136,0.0682,Project Components,0.2935,0.3616,0.6592,REF064,0.6699,shortlist,,20260918T0131-7dd1a33,discover-1
c0372,219,184,50,48,0.6857,access_connectivity,0.4036,0.0091,0.1644,Sectoral and Institutional Context,0.2231,0.3952,0.6513,REF045,0.3667,shortlist,,20260918T0131-7dd1a33,discover-1
c0690,216,132,51,48,0.6857,access_connectivity,0.6726,0.0231,0.0093,Economic and Financial Analysis,0.2499,0.2368,0.7155,REF046,0.4658,shortlist,,20260918T0131-7dd1a33,discover-1
c0709,216,167,34,28,0.4,dpi,0.3017,0.0417,0.1944,Sectoral and Institutional Context,0.1595,0.2848,0.6851,REF068,0.5603,shortlist,,20260918T0131-7dd1a33,discover-1
c0784,215,164,56,51,0.7286,access_connectivity,0.5739,0.0,0.0558,Sectoral and Institutional Context,0.2549,0.3393,0.6645,REF046,0.5261,shortlist,,20260918T0131-7dd1a33,discover-1
c0717,214,125,30,26,0.3714,dpi,0.5352,0.0047,0.0981,Technical Design and Component Descriptions,0.1307,0.265,0.6361,REF068,0.5425,shortlist,,20260918T0131-7dd1a33,discover-1
c0486,210,199,93,54,0.7714,access_connectivity,0.7479,0.0048,0.419,Project Components,0.4404,0.318,0.6913,REF030,0.2697,shortlist,,20260918T0131-7dd1a33,discover-1
c0689,209,188,76,67,0.9571,access_connectivity,0.9591,0.2344,0.9665,Fiduciary,0.4242,0.2204,0.8148,REF045,0.438,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0274,204,197,71,60,0.8571,access_connectivity,0.7745,0.0,0.3725,Implementation Arrangements and Support Plan,0.2921,0.3895,0.6006,REF030,0.3727,shortlist,,20260918T0131-7dd1a33,discover-1
c0232,202,179,64,60,0.8571,dpi,0.8267,0.0,0.0396,"Technical, Economic and Financial Analysis",0.2984,0.354,0.6807,REF006,0.3449,shortlist,,20260918T0131-7dd1a33,discover-1
c0406,199,186,72,56,0.8,dpi,0.7239,0.0201,0.4171,Project Components,0.3295,0.3862,0.6682,REF053,0.5049,shortlist,,20260918T0131-7dd1a33,discover-1
c0561,198,95,15,12,0.1714,dpi,0.3508,0.0202,0.2273,Technical Design and Component Descriptions,0.0674,0.281,0.6561,REF069,0.4528,shortlist,,20260918T0131-7dd1a33,discover-1
c0361,189,166,53,47,0.6714,dpi,0.6907,0.0053,0.2646,Project Components,0.2344,0.3643,0.6456,REF030,0.4711,shortlist,,20260918T0131-7dd1a33,discover-1
c0501,187,133,50,47,0.6714,dpi,0.891,0.016,0.877,Implementation Arrangements and Support Plan,0.2292,0.3058,0.6692,REF030,0.3438,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0574,184,143,59,56,0.8,access_connectivity,0.785,0.0054,0.7772,Implementation Arrangements and Support Plan,0.2846,0.2782,0.7041,REF045,0.4366,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0057,182,124,54,33,0.4714,drm_ews,0.0928,0.1154,0.1538,Project Components,0.2637,0.4649,0.713,REF058,0.4728,shortlist,,20260918T0131-7dd1a33,discover-1
c0078,180,124,80,41,0.5857,access_connectivity,0.4497,0.0222,0.3333,Project Status,0.4089,0.3148,0.7463,REF030,0.309,shortlist,,20260918T0131-7dd1a33,discover-1
c0715,179,139,46,39,0.5571,access_connectivity,0.5996,0.0,0.1117,Project Components,0.1717,0.3872,0.5448,REF072,0.3585,shortlist,,20260918T0131-7dd1a33,discover-1
c0575,177,147,52,49,0.7,drm_ews,0.6458,0.1243,0.0565,Project Components,0.2646,0.5645,0.743,REF041,0.748,shortlist,,20260918T0131-7dd1a33,discover-1
c0602,176,149,57,53,0.7571,access_connectivity,0.5158,0.0,0.517,Implementation Arrangements and Support Plan,0.2607,0.291,0.6677,REF045,0.453,shortlist,,20260918T0131-7dd1a33,discover-1
c0807,176,165,63,47,0.6714,dpi,0.6746,0.0284,0.3466,Project Components,0.3282,0.2571,0.7607,REF051,0.538,shortlist,,20260918T0131-7dd1a33,discover-1
