variant,package_key,package_id,project_id,description_lang,category,status,resolution,asset_class,group,term_len
match_key,P160766|TZ-MCIT-254799-GO-RFB,TZ-MCIT-254799-GO-RFB,P160766,en,goods,cancelled,fine,dpi,platform,3
clean,P160766|TZ-MCIT-254800-GO-RFB,TZ-MCIT-254800-GO-RFB,P160766,en,goods,planned,unresolved,,,
deglued,P160766|TZ-MCIT-254800-GO-RFB,TZ-MCIT-254800-GO-RFB,P160766,en,goods,planned,unresolved,,,
match_key,P160766|TZ-MCIT-254800-GO-RFB,TZ-MCIT-254800-GO-RFB,P160766,en,goods,planned,fine,dpi,platform,3
clean,P160766|TZ-MCIT-254802-GO-RFB,TZ-MCIT-254802-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254802-GO-RFB,TZ-MCIT-254802-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254802-GO-RFB,TZ-MCIT-254802-GO-RFB,P160766,en,goods,cancelled,fine,dpi,platform,3
clean,P160766|TZ-MCIT-254804-GO-RFB,TZ-MCIT-254804-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254804-GO-RFB,TZ-MCIT-254804-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254804-GO-RFB,TZ-MCIT-254804-GO-RFB,P160766,en,goods,cancelled,fine,cybersecurity,platform,3
clean,P160766|TZ-MCIT-254806-GO-RFB,TZ-MCIT-254806-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254806-GO-RFB,TZ-MCIT-254806-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254806-GO-RFB,TZ-MCIT-254806-GO-RFB,P160766,en,goods,cancelled,fine,dpi,platform,3
clean,P160766|TZ-MCIT-254808-CS-CQS,TZ-MCIT-254808-CS-CQS,P160766,en,consultant_services,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254808-CS-CQS,TZ-MCIT-254808-CS-CQS,P160766,en,consultant_services,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254808-CS-CQS,TZ-MCIT-254808-CS-CQS,P160766,en,consultant_services,cancelled,coarse,,telecom,3
clean,P160766|TZ-MCIT-254809-CS-CQS,TZ-MCIT-254809-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-254809-CS-CQS,TZ-MCIT-254809-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-254809-CS-CQS,TZ-MCIT-254809-CS-CQS,P160766,en,consultant_services,cancelled,fine,fiber,telecom,4
clean,P160766|TZ-MCIT-254810-CS-CQS,TZ-MCIT-254810-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-254810-CS-CQS,TZ-MCIT-254810-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-254810-CS-CQS,TZ-MCIT-254810-CS-CQS,P160766,en,consultant_services,cancelled,fine,fiber,telecom,4
clean,P160766|TZ-MCIT-254811-CS-QCBS,TZ-MCIT-254811-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-254811-CS-QCBS,TZ-MCIT-254811-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-254811-CS-QCBS,TZ-MCIT-254811-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-254814-CS-QCBS,TZ-MCIT-254814-CS-QCBS,P160766,en,consultant_services,signed,coarse,,telecom,
deglued,P160766|TZ-MCIT-254814-CS-QCBS,TZ-MCIT-254814-CS-QCBS,P160766,en,consultant_services,signed,coarse,,telecom,
match_key,P160766|TZ-MCIT-254814-CS-QCBS,TZ-MCIT-254814-CS-QCBS,P160766,en,consultant_services,signed,coarse,,telecom,3
clean,P160766|TZ-MCIT-258590-CS-QCBS,TZ-MCIT-258590-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-258590-CS-QCBS,TZ-MCIT-258590-CS-QCBS,P160766,en,consultant_services,cancelled,coarse,,platform,
match_key,P160766|TZ-MCIT-258590-CS-QCBS,TZ-MCIT-258590-CS-QCBS,P160766,en,consultant_services,cancelled,coarse,,platform,8
clean,P160766|TZ-MCIT-258591-CS-QCBS,TZ-MCIT-258591-CS-QCBS,P160766,en,consultant_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-258591-CS-QCBS,TZ-MCIT-258591-CS-QCBS,P160766,en,consultant_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-258591-CS-QCBS,TZ-MCIT-258591-CS-QCBS,P160766,en,consultant_services,signed,fine,dpi,platform,3
clean,P160766|TZ-MCIT-258719-GO-RFB,TZ-MCIT-258719-GO-RFB,P160766,en,goods,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-258719-GO-RFB,TZ-MCIT-258719-GO-RFB,P160766,en,goods,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-258719-GO-RFB,TZ-MCIT-258719-GO-RFB,P160766,en,goods,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-268417-CS-QCBS,TZ-MCIT-268417-CS-QCBS,P160766,en,consultant_services,signed,coarse,,telecom,
deglued,P160766|TZ-MCIT-268417-CS-QCBS,TZ-MCIT-268417-CS-QCBS,P160766,en,consultant_services,signed,coarse,,telecom,
match_key,P160766|TZ-MCIT-268417-CS-QCBS,TZ-MCIT-268417-CS-QCBS,P160766,en,consultant_services,signed,fine,fiber,telecom,4
clean,P160766|TZ-MCIT-268423-CS-QCBS,TZ-MCIT-268423-CS-QCBS,P160766,en,consultant_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-268423-CS-QCBS,TZ-MCIT-268423-CS-QCBS,P160766,en,consultant_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-268423-CS-QCBS,TZ-MCIT-268423-CS-QCBS,P160766,en,consultant_services,signed,fine,fiber,telecom,4
