fetch_id,source,endpoint,query_params,fetched_at,record_count,response_sha256
e43cc7a76cb089bb,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P171305&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:07:58Z,45,bc15b5b5f11b69c872a9c0cc331ef3cce678b27347315a335a1a527f9f7e56bd
e939cb6439255d00,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P175592&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:06Z,37,80345e24daf32ffeb80cff78e7d69bdc399d05a97d3a854862936c58e1a9340d
ea8293756dcbe599,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P180807&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:20Z,10,9be71a60dee07b48eba9ed9f8d02291413f0d2de66b3e976cbdd8fca05c18e03
ed5fc5da09cf7df4,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P171034,2026-09-15T22:05:48Z,120,46344720c8159d29195eac62fe35895617a6ab2a7e9c22fdfa7cb97ed95111e2
ee7a4ea849bcf604,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P181324&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:21Z,6,c468d9789749b8a1025df0f9d9e322963a268b5914894bfa1aa55556869cc324
eeae4688ef3c4ba9,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P169945,2026-09-15T22:05:45Z,0,21fdc86d1384a15f9c683827dc684cacaaa8a916f4a41fbe7a7d5ccc24377f64
eff7942a6a51c456,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P171976&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:00Z,26,42307b503a87073c97ebb41c18e8d0bcb481ac8cb05af502ba00b66ef91c725e
f12b7efe52f15b56,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P175218&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:05Z,51,b50af3e7a96d930e42530853b91abe7eca0d2641681def08b4938dae6db9665c
f261d38282d75da9,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P176459&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:10Z,48,aa36437ebbc210285616256ae7fc5a96788707063b123ae4e067059afe260e41
f3d62b23c7f5a1f9,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P171517&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:07:59Z,38,6d8bf3a36947b905494df1b4e6897cf70240a25553165744c5ac0f1c0217d447
f51ae04ea267605f,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P180987,2026-09-15T22:05:28Z,0,1ba4e6add8215b8bd49dc2205ac80989e49ae307e8936f495d6c591633326d8b
f56951381b2fc1a7,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P508363&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:28Z,0,462a19458fc5ad746a413b0c57f3c855ff0037cd4b1771bec445c23397a5d6de
f7b0bcf4e556d654,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P162599,2026-09-15T21:57:07Z,120,96b6f58de970e12933842ba9bc0b1f186c703db095b215d49dc588bc29586287
fa52fda6297132de,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P171517,2026-09-15T22:05:49Z,34,2acc7b42be8410b60958edacea4e5ab8c44362b35723ab3826347cf3198533ee
fbfc66991fba3614,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P176733,2026-09-15T22:05:58Z,1,39f672b1f338a29e91ae6b56d014a4fd993cd57999a4401c734aebaa15b518ff
ff8dd92f3f2e2753,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P170658,2026-09-15T22:04:33Z,40,13ca78f5f711f9aa1a1b404288ede5948b3b5bc1b40d5967954aafb80e0fc870
ffb7face18acd123,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P170718,2026-09-15T22:04:34Z,175,2929a2a5fb1cba7831ffb9485c71c0141a17d4bec34c4b632ef5762a5a704983
