community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0074,31,31,22,22,0.3143,dpi,0.0,0.0323,0.871,Implementation Arrangements and Support Plan,0.1048,0.328,0.6956,REF030,0.3997,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0102,31,31,28,28,0.4,dpi,0.8979,0.0,0.0645,Project Components,0.1445,0.2973,0.7537,REF061,0.5272,shortlist,,20260918T0110-7dd1a33,discover-1
c0003,30,30,27,25,0.3571,access_connectivity,0.0,0.0667,0.9,Implementation Arrangements and Support Plan,0.1292,0.4545,0.6987,REF030,0.4327,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0018,30,30,25,23,0.3286,dpi,0.8587,0.0333,0.5667,RESULTS FRAMEWORK AND MONITORING,0.1142,0.3095,0.667,REF030,0.3765,shortlist,,20260918T0110-7dd1a33,discover-1
c0045,29,29,23,21,0.3,dpi,0.8823,0.0,0.3448,Sectoral and Institutional Context,0.0989,0.4296,0.628,REF003,0.2959,shortlist,,20260918T0110-7dd1a33,discover-1
c0052,29,25,19,21,0.3,access_connectivity,0.7302,0.0,0.0,"Technical, Economic and Financial Analysis",0.0962,0.2446,0.7391,REF046,0.4756,shortlist,,20260918T0110-7dd1a33,discover-1
c0082,29,29,19,18,0.2571,dpi,0.9751,0.0,0.4138,Implementation Arrangements and Support Plan,0.1095,0.2888,0.8412,REF027,0.2748,shortlist,,20260918T0110-7dd1a33,discover-1
c0041,28,27,24,22,0.3143,dpi,0.9455,0.1786,0.3929,Project Components,0.112,0.3491,0.6816,REF085,0.3635,shortlist,,20260918T0110-7dd1a33,discover-1
c0044,28,28,22,20,0.2857,access_connectivity,0.8699,0.0,0.6429,Implementation Arrangements and Support Plan,0.0994,0.3314,0.6596,REF005,0.3445,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0000,27,27,22,21,0.3,dpi,0.8979,0.0,0.3704,Project Components,0.1317,0.2049,0.8741,REF027,0.1754,shortlist,,20260918T0110-7dd1a33,discover-1
c0023,27,23,23,21,0.3,,0.0,0.0,0.0,GRIEVANCE REDRESS SERVICES,0.1224,0.302,0.7768,REF030,0.3515,shortlist,,20260918T0110-7dd1a33,discover-1
c0004,26,26,22,26,0.3714,access_connectivity,0.9212,0.0,0.8077,KEY RISKS,0.1169,0.3941,0.7758,REF030,0.397,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0024,26,25,20,20,0.2857,access_connectivity,0.7897,0.1538,0.4615,KEY RISKS,0.098,0.3111,0.7155,REF030,0.4323,shortlist,,20260918T0110-7dd1a33,discover-1
c0050,25,25,16,16,0.2286,access_connectivity,0.8289,0.64,0.12,Project Components,0.0844,0.283,0.7698,REF085,0.3816,shortlist,,20260918T0110-7dd1a33,discover-1
