community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0323,233,221,77,61,0.8714,access_connectivity,0.5033,0.0043,0.9185,Implementation Arrangements and Support Plan,0.4068,0.3212,0.7713,REF009,0.3552,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0396,231,159,56,51,0.7286,mobile_towers,0.6102,0.0,0.0606,Sectoral and Institutional Context,0.2563,0.2056,0.6683,REF087,0.4646,shortlist,,20260918T0135-7dd1a33,discover-1
c0212,227,193,104,55,0.7857,access_connectivity,0.7241,0.0132,0.511,Project Status,0.4829,0.4077,0.6779,REF030,0.3553,shortlist,,20260918T0135-7dd1a33,discover-1
c0057,222,177,70,62,0.8857,access_connectivity,0.7544,0.009,0.3108,Implementation Arrangements and Support Plan,0.2973,0.3812,0.62,REF002,0.3119,shortlist,,20260918T0135-7dd1a33,discover-1
c0277,222,138,69,50,0.7143,dpi,0.8053,0.0,0.8468,Implementation Arrangements and Support Plan,0.3309,0.3281,0.7002,REF045,0.421,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0120,220,182,69,55,0.7857,dpi,0.7904,0.0,0.4,Sectoral and Institutional Context,0.2858,0.4079,0.6048,REF030,0.3631,shortlist,,20260918T0135-7dd1a33,discover-1
c0282,220,200,65,54,0.7714,cybersecurity,0.8775,0.0136,0.0591,Project Components,0.3198,0.2568,0.7184,REF067,0.487,shortlist,,20260918T0135-7dd1a33,discover-1
c0180,219,184,50,48,0.6857,access_connectivity,0.4036,0.0091,0.1644,Sectoral and Institutional Context,0.2231,0.3952,0.6513,REF045,0.3667,shortlist,,20260918T0135-7dd1a33,discover-1
c0341,216,132,51,48,0.6857,access_connectivity,0.6726,0.0231,0.0093,Economic and Financial Analysis,0.2499,0.2368,0.7155,REF046,0.4658,shortlist,,20260918T0135-7dd1a33,discover-1
c0352,216,167,34,28,0.4,dpi,0.3017,0.0417,0.1944,Sectoral and Institutional Context,0.1595,0.2848,0.6851,REF068,0.5603,shortlist,,20260918T0135-7dd1a33,discover-1
c0394,215,164,56,51,0.7286,access_connectivity,0.5739,0.0,0.0558,Sectoral and Institutional Context,0.2549,0.3393,0.6645,REF046,0.5261,shortlist,,20260918T0135-7dd1a33,discover-1
c0356,214,125,30,26,0.3714,dpi,0.5352,0.0047,0.0981,Technical Design and Component Descriptions,0.1307,0.265,0.6361,REF068,0.5425,shortlist,,20260918T0135-7dd1a33,discover-1
c0319,212,166,67,53,0.7571,access_connectivity,0.0,0.1509,0.9575,Implementation Arrangements and Support Plan,0.3239,0.3601,0.7057,REF085,0.4272,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0281,210,192,82,64,0.9143,access_connectivity,0.868,0.281,0.7857,Institutional and Implementation Arrangements,0.4024,0.3115,0.7165,REF030,0.3978,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0340,209,188,76,67,0.9571,access_connectivity,0.9591,0.2344,0.9665,Fiduciary,0.4242,0.2204,0.8148,REF045,0.438,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0123,206,204,94,64,0.9143,dpi,0.8079,0.0,0.3835,Project Components,0.407,0.4007,0.6322,REF030,0.3812,shortlist,,20260918T0135-7dd1a33,discover-1
c0406,206,163,53,46,0.6571,access_connectivity,0.5706,0.0825,0.1019,Project Components,0.237,0.3151,0.6529,REF043,0.6256,shortlist,,20260918T0135-7dd1a33,discover-1
c0372,201,152,60,56,0.8,access_connectivity,0.7788,0.005,0.0995,Sectoral and Institutional Context,0.2812,0.2767,0.6841,REF061,0.5423,shortlist,,20260918T0135-7dd1a33,discover-1
