clause_id,paragraph_id,doc_id,block,section,section_path,char_start,char_end,text_sha256,split_rule,norm_hash,drop_reason
34357064:p00044:c05:split-1,34357064:p00044,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,14325,14345,1fe9f5b92b83c7be25abf81f3e9655c12a827b7c40e833194744b3013f8c6b11,verb_subtree,,duplicate
34357064:p00044:c06:split-1,34357064:p00044,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,14348,14401,6b094380a4af321fdba4767f2e388c6cb3e23f633112e4b419835fe6baa8e48f,semicolon,,duplicate
34357064:p00044:c07:split-1,34357064:p00044,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,14402,14441,d2c543ccdea28f7335ec53060337c82cfc03f3ee025cfbdb31b8715b2a6666d1,relative,,duplicate
34370345:p00029:c02:split-1,34370345:p00029,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,1954,1986,405a391cca76616565c51a38b26f088a1563b51443c0ddc7a245783c692a027d,relative,,duplicate
34370345:p00029:c04:split-1,34370345:p00029,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,2074,2098,956fa83642c438b8b189b751c00c57749e89beac1861e08f36632c8c62c2b100,sentence,,duplicate
34370345:p00029:c05:split-1,34370345:p00029,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,2099,2127,99cc7d4a86c563890929f651b4786903461657500c4fbbf98e842e3e7be5e063,verb_subtree,,duplicate
34370345:p00029:c09:split-1,34370345:p00029,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,2357,2426,0710baca64015580115e16e058225daef1925a390902abf61584f9bf2a999290,subord_conj,,duplicate
34370345:p00029:c10:split-1,34370345:p00029,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,2428,2459,15c055f436cf0f4bac339da43b66bfcb636d2a382f13e2856949c3a45697783e,verb_subtree,,duplicate
34370345:p00029:c11:split-1,34370345:p00029,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,2460,2638,2fc364261bd4f917cb25a2084ceab40e76ce563e97c8abc5033c0cc24e37b9e0,verb_subtree,,duplicate
34370345:p00029:c12:split-1,34370345:p00029,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,2640,2670,48fbbfa774f25ab8b1ec937f282f642eded9eedae9a394a3fcb93f80dd812f63,relative,,duplicate
